grp,lon,lat,
shore,-77.2437255,43.858237,
shore,-77.2298425,43.8565215,
shore,-77.2059125,43.85672467,
shore,-77.20353233,43.8601685,
shore,-77.19163267,43.86533283,
shore,-77.18607967,43.8682015,
shore,-77.18052667,43.867053,
shore,-77.16704183,43.86073883,
shore,-77.159903,43.85614617,
shore,-77.1599035,43.851554,
shore,-77.16466383,43.84868383,
shore,-77.155939,43.8394975,
shore,-77.14879917,43.84121917,
shore,-77.13848617,43.84581083,
shore,-77.12738083,43.84408767,
shore,-77.11468717,43.85614133,
shore,-77.10278733,43.86360183,
shore,-77.09485483,43.85958317,
shore,-77.09009583,43.859009,
shore,-77.09326783,43.863601,
shore,-77.08216167,43.868191,
shore,-77.068675,43.8779445,
shore,-77.05836233,43.88195983,
shore,-77.04646283,43.887696,
shore,-77.03535717,43.88826883,
shore,-77.02345833,43.888841,
shore,-77.00600617,43.89113433,
shore,-76.99489967,43.90031117,
shore,-76.97665483,43.8997355,
shore,-76.961582,43.91005767,
shore,-76.945717,43.911203,
shore,-76.93619767,43.91464267,
shore,-76.93381683,43.92209683,
shore,-76.91795183,43.92209517,
shore,-76.90288017,43.92209417,
shore,-76.89018783,43.92610633,
shore,-76.884635,43.9295455,
shore,-76.87353,43.92782433,
shore,-76.864011,43.92954383,
shore,-76.85766417,43.9347025,
shore,-76.86004367,43.9375685,
shore,-76.86242217,43.94330033,
shore,-76.8648015,43.94673933,
shore,-76.88145983,43.94502183,
shore,-76.90843117,43.93642667,
shore,-76.9274695,43.931269,
shore,-76.93778167,43.92897717,
shore,-76.94967983,43.935284,
shore,-76.95761133,43.93987,
shore,-76.9718905,43.9364325,
shore,-76.98141,43.93070067,
shore,-76.99251483,43.9347145,
shore,-77.00124067,43.9352885,
shore,-77.00758683,43.936436,
shore,-77.00837933,43.94216783,
shore,-77.01710517,43.9410225,
shore,-77.02345267,43.93070517,
shore,-77.02504033,43.9221055,
shore,-77.02980067,43.91637217,
shore,-77.03773367,43.912359,
shore,-77.0440795,43.91121233,
shore,-77.04487217,43.91637333,
shore,-77.04645833,43.91924067,
shore,-77.05121817,43.919241,
shore,-77.04725133,43.92325417,
shore,-77.040904,43.93013317,
shore,-77.04010983,43.93701233,
shore,-77.04169517,43.9484755,
shore,-77.03455467,43.95535117,
shore,-77.025035,43.96165333,
shore,-77.0242415,43.964518,
shore,-77.01789467,43.966809,
shore,-77.0099625,43.96680817,
shore,-77.005202,43.97139083,
shore,-77.010755,43.97311,
shore,-77.006788,43.97711967,
shore,-76.99964767,43.98284667,
shore,-76.998854,43.986283,
shore,-77.006787,43.98571133,
shore,-77.00916667,43.986857,
shore,-77.014719,43.98685717,
shore,-77.02185917,43.9834215,
shore,-77.02741167,43.9828495,
shore,-77.031378,43.98514067,
shore,-77.0266175,43.99143983,
shore,-77.01789133,43.995448,
shore,-77.009958,43.99831017,
shore,-77.00361233,43.997737,
shore,-77.0004395,43.994301,
shore,-76.99409317,43.998881,
shore,-76.98853983,44.00346133,
shore,-76.98377983,44.00346083,
shore,-76.97664,44.01033033,
shore,-76.96474033,44.01662617,
shore,-76.954428,44.01776967,
shore,-76.94728833,44.01776933,
shore,-76.94173583,44.01891317,
shore,-76.9266635,44.02291883,
shore,-76.91317767,44.02749583,
shore,-76.89889833,44.03436217,
shore,-76.90365667,44.04008433,
shore,-76.90206967,44.04466183,
shore,-76.90286183,44.051527,
shore,-76.894135,44.06182233,
shore,-76.8830285,44.0681125,
shore,-76.8639895,44.078404,
shore,-76.85288317,44.0852645,
shore,-76.8449495,44.09212383,
shore,-76.84494783,44.10641383,
shore,-76.84574033,44.1109855,
shore,-76.84970617,44.11155767,
shore,-76.86081233,44.10584333,
shore,-76.868746,44.0989855,
shore,-76.87905883,44.09212683,
shore,-76.88540567,44.08755433,
shore,-76.887785,44.08812633,
shore,-76.882232,44.09327083,
shore,-76.87905817,44.09841517,
shore,-76.88461083,44.09955867,
shore,-76.892544,44.09384317,
shore,-76.90127033,44.08755567,
shore,-76.90365067,44.08355367,
shore,-76.91793017,44.07555,
shore,-76.929037,44.066401,
shore,-76.93697033,44.06239867,
shore,-76.94886967,44.0572515,
shore,-76.96632217,44.050961,
shore,-76.983774,44.04753017,
shore,-76.992501,44.04066533,
shore,-77.001227,44.03894967,
shore,-77.00995267,44.03837833,
shore,-77.01629933,44.03723417,
shore,-77.02105883,44.03494583,
shore,-77.039304,44.0372365,
shore,-77.05913467,44.04181633,
shore,-77.08531233,44.045824,
shore,-77.09959133,44.04525333,
shore,-77.11704417,44.03896117,
shore,-77.12259833,44.02694433,
shore,-77.12497917,44.0183595,
shore,-77.13449983,44.00977383,
shore,-77.13211883,44.01893233,
shore,-77.1313245,44.02751783,
shore,-77.13449667,44.03266833,
shore,-77.12894333,44.03839017,
shore,-77.11942217,44.05154867,
shore,-77.1091085,44.0624155,
shore,-77.09958733,44.07385283,
shore,-77.08848033,44.08585883,
shore,-77.080546,44.09500517,
shore,-77.07975167,44.103579,
shore,-77.080544,44.112723,
shore,-77.0757835,44.11786533,
shore,-77.0741955,44.12929167,
shore,-77.068641,44.13786,
shore,-77.067847,44.14585617,
shore,-77.06229233,44.1561345,
shore,-77.05911817,44.16298617,
shore,-77.063878,44.16412817,
shore,-77.07022417,44.162416,
shore,-77.06784367,44.1669835,
shore,-77.06625633,44.17155033,
shore,-77.075776,44.17155133,
shore,-77.09243583,44.164702,
shore,-77.100369,44.16184817,
shore,-77.11861467,44.16070817,
shore,-77.132101,44.156142,
shore,-77.14003433,44.1510035,
shore,-77.14796783,44.14814867,
shore,-77.16700633,44.1475795,
shore,-77.1773195,44.1452965,
shore,-77.1852535,44.13901467,
shore,-77.18763467,44.129875,
shore,-77.19477417,44.12816217,
shore,-77.19636117,44.12416317,
shore,-77.20508817,44.12130733,
shore,-77.19794717,44.1281625,
shore,-77.19239333,44.13501667,
shore,-77.19635933,44.13901567,
shore,-77.210639,44.13673267,
shore,-77.22491883,44.13330683,
shore,-77.23523117,44.13445033,
shore,-77.24792433,44.12988183,
shore,-77.26775783,44.12359917,
shore,-77.27489833,44.11788633,
shore,-77.2764855,44.11331517,
shore,-77.28283167,44.1116015,
shore,-77.28441817,44.115602,
shore,-77.28997083,44.11560267,
shore,-77.29076517,44.11045933,
shore,-77.28759283,44.10360083,
shore,-77.290767,44.095599,
shore,-77.2907675,44.09102583,
shore,-77.28362767,44.089882,
shore,-77.277281,44.09502633,
shore,-77.26696833,44.0944535,
shore,-77.2534825,44.09273683,
shore,-77.259829,44.08873567,
shore,-77.26696967,44.083591,
shore,-77.28283583,44.080734,
shore,-77.293942,44.08016333,
shore,-77.306635,44.07559033,
